PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON_ID
201985,AJ Price,MIN,28,3.5,0.7,1.6,0.413,0.2,0.8,0.273,0.0,0.1,0.0,0.0,0.3,0.4,0.5,0.0,0.0,0.3,0.2,1.6,0.1,2013-14
201166,Aaron Brooks,DEN,72,21.6,3.2,8.1,0.401,1.3,3.4,0.387,1.2,1.3,0.874,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2.0,9.0,-1.3,2013-14
201189,Aaron Gray,SAC,37,9.6,0.7,1.6,0.443,0.0,0.0,0.0,0.3,0.5,0.55,1.1,1.9,3.0,0.6,0.3,0.2,0.8,1.7,1.8,-2.3,2013-14
203519,Adonis Thomas,PHI,6,6.3,1.0,2.3,0.429,0.2,0.8,0.2,0.2,0.2,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.2,1.0,2.3,1.3,2013-14
1733,Al Harrington,WAS,34,15.0,2.4,6.1,0.396,1.0,2.9,0.34,0.8,1.0,0.771,0.4,1.9,2.4,0.8,0.4,0.0,1.0,2.1,6.6,1.4,2013-14
201143,Al Horford,ATL,29,33.0,8.2,14.5,0.567,0.1,0.4,0.364,2.0,2.9,0.682,2.3,6.1,8.4,2.6,0.9,1.5,2.2,1.9,18.6,2.5,2013-14
2744,Al Jefferson,CHA,73,35.0,9.6,18.8,0.509,0.0,0.2,0.2,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,0.4,2013-14
202329,Al-Farouq Aminu,NOP,80,25.6,2.9,6.2,0.474,0.2,0.6,0.271,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,-3.2,2013-14
101187,Alan Anderson,BKN,78,22.7,2.5,6.2,0.4,1.1,3.2,0.339,1.2,1.5,0.78,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2,-0.7,2013-14
202692,Alec Burks,UTA,78,28.1,4.9,10.7,0.457,0.6,1.8,0.35,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14.0,-3.7,2013-14
203458,Alex Len,PHX,42,8.6,0.8,1.9,0.423,0.0,0.0,0.0,0.5,0.7,0.645,0.9,1.4,2.4,0.1,0.1,0.4,0.6,1.6,2.0,-1.3,2013-14
203144,Alexey Shved,MIN,63,10.5,1.2,3.8,0.321,0.5,1.6,0.294,1.1,1.4,0.756,0.3,1.0,1.3,1.1,0.4,0.3,0.8,0.6,4.0,-0.6,2013-14
201582,Alexis Ajinca,NOP,56,17.0,2.4,4.4,0.546,0.0,0.0,0.0,1.0,1.2,0.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,-1.8,2013-14
203459,Allen Crabbe,POR,15,6.7,0.8,2.2,0.364,0.4,0.9,0.429,0.2,0.3,0.75,0.1,0.5,0.6,0.4,0.1,0.1,0.2,0.7,2.2,0.1,2013-14
202087,Alonzo Gee,CLE,65,15.7,1.5,3.6,0.415,0.3,0.9,0.328,0.7,0.9,0.705,0.5,1.8,2.3,0.7,0.6,0.2,0.7,1.5,4.0,-3.5,2013-14
2405,Amar'e Stoudemire,NYK,65,22.6,4.8,8.6,0.557,0.0,0.0,0.0,2.3,3.1,0.739,1.7,3.2,4.9,0.5,0.4,0.6,1.4,2.4,11.9,-2.4,2013-14
101161,Amir Johnson,TOR,77,28.8,4.5,7.9,0.562,0.3,0.9,0.303,1.2,1.9,0.636,2.2,4.3,6.6,1.5,0.7,1.1,1.6,3.5,10.4,2.5,2013-14
2760,Anderson Varejao,CLE,65,27.7,3.5,7.1,0.495,0.0,0.1,0.0,1.4,2.1,0.681,2.9,6.8,9.7,2.2,1.1,0.6,1.1,2.5,8.4,1.0,2013-14
101154,Andray Blatche,BKN,73,22.2,4.4,9.2,0.476,0.2,0.7,0.278,2.2,3.0,0.742,1.6,3.7,5.3,1.5,1.0,0.5,1.5,2.3,11.2,0.3,2013-14
203083,Andre Drummond,DET,81,32.3,5.9,9.5,0.623,0.0,0.0,0.0,1.7,4.0,0.418,5.4,7.8,13.2,0.4,1.2,1.6,1.4,3.4,13.5,-2.9,2013-14
2738,Andre Iguodala,GSW,63,32.4,3.5,7.3,0.48,1.0,2.8,0.354,1.4,2.1,0.652,0.8,3.8,4.7,4.2,1.5,0.3,1.6,1.6,9.3,9.0,2013-14
1889,Andre Miller,WAS,58,16.9,1.8,4.0,0.459,0.2,0.4,0.524,1.0,1.3,0.779,0.5,1.8,2.2,3.4,0.6,0.2,1.1,1.3,4.9,0.8,2013-14
203460,Andre Roberson,OKC,40,10.0,0.8,1.7,0.485,0.1,0.3,0.154,0.2,0.3,0.7,0.9,1.5,2.4,0.4,0.5,0.3,0.5,1.9,1.9,0.7,2013-14
200745,Andrea Bargnani,NYK,42,29.9,5.3,12.0,0.442,0.7,2.6,0.278,2.0,2.4,0.824,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3,-2.9,2013-14
1905,Andrei Kirilenko,BKN,45,19.1,1.8,3.6,0.513,0.0,0.1,0.2,1.4,2.6,0.513,1.2,2.0,3.2,1.6,0.9,0.4,1.2,1.4,5.0,-1.1,2013-14
101106,Andrew Bogut,GSW,67,26.4,3.5,5.6,0.627,0.0,0.0,0.0,0.3,1.0,0.344,2.7,7.3,10.0,1.7,0.7,1.8,1.4,3.1,7.3,4.6,2013-14
101115,Andrew Bynum,IND,26,19.8,3.6,8.7,0.418,0.0,0.0,0.0,1.4,1.9,0.755,2.0,3.5,5.6,1.1,0.2,1.1,1.3,1.2,8.7,-5.2,2013-14
203094,Andrew Nicholson,ORL,76,15.4,2.4,5.5,0.429,0.4,1.2,0.315,0.6,0.8,0.825,0.7,2.7,3.4,0.3,0.2,0.3,0.7,2.0,5.7,-2.0,2013-14
2740,Andris Biedrins,UTA,6,7.4,0.2,0.2,1.0,0.0,0.0,0.0,0.2,1.0,0.167,0.3,2.5,2.8,0.0,0.0,0.0,0.3,1.0,0.5,0.3,2013-14
1712,Antawn Jamison,LAC,22,11.3,1.3,4.2,0.315,0.4,1.9,0.195,0.8,1.1,0.72,0.4,2.1,2.5,0.3,0.4,0.1,0.3,1.3,3.8,2.5,2013-14
203461,Anthony Bennett,CLE,52,12.7,1.5,4.3,0.356,0.3,1.0,0.245,0.8,1.3,0.638,0.9,2.0,3.0,0.3,0.4,0.2,0.9,1.8,4.2,-1.6,2013-14
203076,Anthony Davis,NOP,67,35.2,7.8,15.0,0.519,0.0,0.1,0.222,5.2,6.6,0.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8,-1.7,2013-14
201627,Anthony Morrow,NOP,76,18.8,3.1,6.8,0.458,1.2,2.6,0.451,0.9,1.1,0.828,0.4,1.5,1.8,0.8,0.5,0.2,0.7,1.3,8.4,0.6,2013-14
